품목,메이커,스펙,단위,가격
주방세제,LG,(750㎖) 자연퐁 스팀워시 레몬,개,"9,900"
주방세제,헨켈,(750㎖) 프릴 베이킹소다 퓨어레몬,개,"8,900"
주방세제,LG,(490㎖) 자연퐁POP 솔잎,개,"5,300"
키친타올,유한,크리넥스 150매×6,개,"8,600"
행주,유한,향균 블루 행주 타올 45매×4,개,"10,400"
냅킨,유한,크리넥스 카카오 홈냅킨 130매×6,개,"12,100"
호일,대한,대한웰빙호일 25㎝×30m×15μ,개,"6,280"
호일,크린랩,(30매) 크린종이호일 26.7㎝,개,"3,980"
호일,크린랩,크린종이호일 30㎝×20m,개,"5,280"
랩,크린랲,크린랲 22㎝×50m,개,"5,480"
위생봉지,크린랩,(200매입) 크린롤백 30㎝×40㎝,개,"8,080"
고무장갑,크린랩,(2개입) 크린랲고무장갑(중),개,"6,480"
위생장갑,크린랩,(100매) 크린장갑,개,"5,080"
종이컵,-,(250매) 일회용물컵,개,"1,780"
종이컵,-,(50개입) 고급종이컵,개,"1,350"
세숫비누,LG,(140g×3개) 알뜨랑,개,"6,900"
세숫비누,유니레버,(90g×4개) 도브 비누 뷰티바,개,"7,900"
손세정제,라이온,(250㎖) 아이 깨끗해 거품형,개,"6,900"
손세정제,유니레버,(240㎖) 도브 포밍핸드워시 딥모이스처,개,"5,900"
샴푸,LG,(855㎖) 엘라스틴 프로틴리페어 볼륨 샴푸,개,"5,900"
샴푸,애경,"(1,000㎖) 케라시스 샴푸 모이스처",개,"7,950"
샴푸,한국피앤지,"(1,200㎖) 팬틴 모이스쳐 샴푸",개,"13,100"
샴푸,미쟝센,(680㎖) 미쟝센 퍼펙트 샴푸 오리지널,개,"8,500"
칫솔,한국피앤지,(3개입) 오랄비 크로스액션 칫솔,개,"11,900"
칫솔,LG,(4개입) 페리오 토탈7,개,"12,900"
칫솔,아모레,(4개입) 메디안 치석케어 칫솔,개,"11,900"
치약,애경,(130gx3개) 2080 시그니처 토탈블루,개,"8,900"
치약,아모레,(120g×3개) 메디안 치석케어 오리지널,개,"11,900"
